fichier,phrase_id,position,mot,onset,offset,POS,surprisal_bits,surprise_structurale,oov,freq_zipf,n_phones
audio01.TextGrid,10,10,desert,69.550,70.050,NN,4.8869,3.0508,1,4.4,5
audio01.TextGrid,11,1,everything,71.720,72.090,NN,12.0996,2.9904,0,5.54,7
audio01.TextGrid,11,2,about,72.090,72.400,IN,5.7591,2.8183,0,6.4,4
audio01.TextGrid,11,3,him,72.400,72.500,PRP,6.7448,5.4579,0,6.11,2
audio01.TextGrid,11,4,was,72.500,72.650,VBD,3.0516,2.2358,0,6.82,3
audio01.TextGrid,11,5,old,72.650,72.980,JJ,7.9253,4.4512,0,5.75,3
audio01.TextGrid,11,6,except,72.980,73.300,IN,10.2669,3.3843,0,5.02,6
audio01.TextGrid,11,7,his,73.300,73.450,PRP$,2.6039,5.3308,0,6.51,3
audio01.TextGrid,11,8,eyes,73.450,73.940,NNS,11.5620,2.6653,0,5.21,2
audio01.TextGrid,11,9,and,74.100,74.200,CC,0.5482,4.0548,0,7.41,2
audio01.TextGrid,11,10,they,74.200,74.290,PRP,2.7059,6.0020,0,6.5,2
audio01.TextGrid,11,11,were,74.290,74.420,VBD,3.9492,2.8243,0,6.34,2
audio01.TextGrid,11,12,the,74.420,74.510,DT,0.7806,3.1613,0,7.73,2
audio01.TextGrid,11,13,same,74.510,74.820,JJ,7.3008,2.3076,0,5.8,3
audio01.TextGrid,11,14,color,74.820,75.160,NN,13.6845,0.8757,0,4.91,4
audio01.TextGrid,11,15,as,75.160,75.290,IN,4.7671,2.1069,0,6.77,2
audio01.TextGrid,11,16,the,75.290,75.390,DT,0.7806,1.7802,0,7.73,2
audio01.TextGrid,11,17,sea,75.390,75.750,NN,4.8869,1.2945,1,5.06,2
audio01.TextGrid,11,18,and,75.910,76.040,CC,0.5482,5.1478,0,7.41,2
audio01.TextGrid,11,19,were,76.040,76.180,VBD,3.9492,4.3999,0,6.34,2
audio01.TextGrid,11,20,cheerful,76.180,76.740,JJ,5.1180,4.3384,1,3.6,6
audio01.TextGrid,11,21,and,76.740,76.900,CC,0.5482,4.6493,0,7.41,3
audio01.TextGrid,11,22,undefeated,76.900,77.660,JJ,5.1180,1.9039,1,3.62,9
audio01.TextGrid,12,1,santiago,79.390,80.080,RB,3.1182,5.2120,1,3.66,8
