fichier,phrase_id,position,mot,onset,offset,POS,surprise_llm,freq_zipf,n_phones
audio01.TextGrid,15,3,old,91.600,91.790,JJ,9.7752,5.75,3
audio01.TextGrid,15,4,man,91.790,92.010,NN,4.6783,5.82,3
audio01.TextGrid,15,5,said,92.010,92.360,VBD,8.6296,6.01,3
audio01.TextGrid,16,1,you,92.900,93.040,PRP,14.0194,6.98,2
audio01.TextGrid,16,2,re,93.040,93.100,VBP,9.7938,5.23,2
audio01.TextGrid,16,3,with,93.100,93.280,IN,16.1735,6.85,3
audio01.TextGrid,16,4,a,93.280,93.360,DT,7.1527,7.36,1
audio01.TextGrid,16,5,lucky,93.360,93.670,JJ,13.3082,4.77,4
audio01.TextGrid,16,6,boat,93.670,94.070,NN,13.7541,4.71,3
audio01.TextGrid,16,7,stay,94.220,94.450,NN,14.4758,5.33,3
audio01.TextGrid,16,8,with,94.450,94.710,IN,6.1721,6.85,3
audio01.TextGrid,16,9,them,94.710,94.930,PRP,7.7133,6.19,3
audio01.TextGrid,17,1,but,96.070,96.240,CC,16.1685,6.63,3
audio01.TextGrid,17,2,remember,96.240,96.600,VB,13.2074,5.38,7
audio01.TextGrid,17,3,how,96.600,96.720,WRB,6.7699,6.24,2
audio01.TextGrid,17,4,you,96.720,96.880,PRP,4.5177,6.98,2
audio01.TextGrid,17,5,went,96.880,97.040,VBD,8.7683,5.5,4
audio01.TextGrid,17,6,eighty,97.040,97.280,VB,18.8764,3.75,3
audio01.TextGrid,17,7,seven,97.280,97.550,CD,7.9934,5.08,5
audio01.TextGrid,17,8,days,97.550,97.820,NNS,5.7178,5.61,3
audio01.TextGrid,17,9,without,97.820,98.090,IN,9.1917,5.69,5
audio01.TextGrid,17,10,fish,98.090,98.370,JJ,16.1471,4.9,3
audio01.TextGrid,17,11,and,98.630,98.710,CC,3.4340,7.41,2
audio01.TextGrid,17,12,then,98.710,98.870,RB,5.5702,6.07,3
audio01.TextGrid,17,13,we,98.870,98.960,PRP,6.0740,6.54,2
audio01.TextGrid,17,14,caught,98.960,99.170,VBD,12.2512,4.9,3
audio01.TextGrid,17,15,big,99.170,99.420,JJ,10.4399,5.67,3
audio01.TextGrid,17,16,ones,99.420,99.670,NNS,14.7519,5.07,4
audio01.TextGrid,17,17,every,99.670,99.870,DT,7.2567,5.79,4
audio01.TextGrid,17,18,day,99.870,100.040,NN,2.3561,5.95,2
audio01.TextGrid,17,19,for,100.040,100.160,IN,4.2919,7.01,2
audio01.TextGrid,17,20,three,100.160,100.390,CD,2.7009,5.78,3
audio01.TextGrid,17,21,weeks,100.390,100.780,NNS,5.6880,5.19,4
audio01.TextGrid,18,1,i,102.110,102.220,JJ,5.7704,7.09,1
audio01.TextGrid,18,2,remember,102.220,102.740,VBP,15.9334,5.38,7
audio01.TextGrid,18,3,the,102.930,103.060,DT,3.1971,7.73,2
audio01.TextGrid,18,4,old,103.060,103.240,JJ,9.8194,5.75,3
audio01.TextGrid,18,5,man,103.240,103.490,NN,5.2978,5.82,3
audio01.TextGrid,18,6,said,103.490,103.820,VBD,11.3141,6.01,3
audio01.TextGrid,19,1,i,104.350,104.480,NN,5.7704,7.09,1
audio01.TextGrid,19,2,know,104.480,104.650,VBP,13.4773,6.1,2
audio01.TextGrid,19,3,you,104.650,104.760,PRP,4.2094,6.98,2
audio01.TextGrid,19,4,did,104.760,104.950,VBD,6.2933,5.96,3
audio01.TextGrid,19,5,not,104.950,105.180,RB,4.1856,6.69,3
audio01.TextGrid,19,6,leave,105.180,105.370,VB,6.9064,5.34,3
audio01.TextGrid,19,7,me,105.370,105.480,PRP,2.4126,6.48,2
audio01.TextGrid,19,8,because,105.480,105.840,IN,8.6351,6.03,5
audio01.TextGrid,19,9,you,105.840,105.940,PRP,2.0095,6.98,2
audio01.TextGrid,19,10,doubted,105.940,106.480,VBD,12.8202,3.44,5
audio01.TextGrid,20,1,it,107.590,107.740,PRP,11.0007,6.95,2
audio01.TextGrid,20,2,was,107.740,107.930,VBD,3.5299,6.82,3
audio01.TextGrid,20,3,papa,107.930,108.250,VBN,22.3920,3.91,4
audio01.TextGrid,20,4,made,108.250,108.560,VBN,13.7723,5.92,3
audio01.TextGrid,20,5,me,108.560,108.650,PRP,9.1166,6.48,2
audio01.TextGrid,20,6,leave,108.650,109.060,VBP,10.2356,5.34,3
audio01.TextGrid,20,7,i,109.300,109.410,JJ,8.3488,7.09,1
audio01.TextGrid,20,8,am,109.410,109.510,VBP,5.3322,5.78,2
