fichier,phrase_id,position,mot,onset,offset,relation,tete
audio01.TextGrid,13,9,FISHLESS,68.980,69.530,,DESERT
audio01.TextGrid,13,10,DESERT,69.550,70.050,,AS
audio01.TextGrid,14,1,EVERYTHING,71.720,72.090,,WERE
audio01.TextGrid,14,2,ABOUT,72.090,72.400,,THEY
audio01.TextGrid,14,3,HIM,72.400,72.500,,THEY
audio01.TextGrid,14,4,WAS,72.500,72.650,,THEY
audio01.TextGrid,14,5,OLD,72.650,72.980,,THEY
audio01.TextGrid,14,6,EXCEPT,72.980,73.300,,THEY
audio01.TextGrid,14,7,HIS,73.300,73.450,,THEY
audio01.TextGrid,14,8,EYES,73.450,73.940,,THEY
audio01.TextGrid,14,9,AND,74.100,74.200,,THEY
audio01.TextGrid,14,10,THEY,74.200,74.290,,WERE
audio01.TextGrid,14,11,WERE,74.290,74.420,,ROOT
audio01.TextGrid,14,12,THE,74.420,74.510,,COLOR
audio01.TextGrid,14,13,SAME,74.510,74.820,,COLOR
audio01.TextGrid,14,14,COLOR,74.820,75.160,,WERE
audio01.TextGrid,14,15,AS,75.160,75.290,,COLOR
audio01.TextGrid,14,16,THE,75.290,75.390,,UNDEFEATED
audio01.TextGrid,14,17,SEA,75.390,75.750,,UNDEFEATED
audio01.TextGrid,14,18,AND,75.910,76.040,,UNDEFEATED
audio01.TextGrid,14,19,WERE,76.040,76.180,,UNDEFEATED
audio01.TextGrid,14,20,CHEERFUL,76.180,76.740,,UNDEFEATED
audio01.TextGrid,14,21,AND,76.740,76.900,,UNDEFEATED
audio01.TextGrid,14,22,UNDEFEATED,76.900,77.660,,AS
audio01.TextGrid,15,1,SANTIAGO,79.390,80.080,,HIM
audio01.TextGrid,15,2,THE,80.330,80.400,,HIM
audio01.TextGrid,15,3,BOY,80.400,80.630,,HIM
audio01.TextGrid,15,4,SAID,80.630,80.900,,HIM
audio01.TextGrid,15,5,TO,80.900,81.000,,HIM
audio01.TextGrid,15,6,HIM,81.000,81.130,,ROOT
audio01.TextGrid,15,7,AS,81.130,81.260,,HIM
audio01.TextGrid,15,8,THEY,81.260,81.350,,UP
audio01.TextGrid,15,9,CLIMBED,81.350,81.700,,UP
audio01.TextGrid,15,10,THE,81.700,81.770,,UP
audio01.TextGrid,15,11,BANK,81.770,82.110,,UP
audio01.TextGrid,15,12,FROM,82.110,82.240,,UP
audio01.TextGrid,15,13,WHERE,82.240,82.360,,UP
audio01.TextGrid,15,14,THE,82.360,82.460,,UP
audio01.TextGrid,15,15,SKIFF,82.460,82.770,,UP
audio01.TextGrid,15,16,WAS,82.770,82.910,,UP
audio01.TextGrid,15,17,HAULED,82.910,83.140,,UP
audio01.TextGrid,15,18,UP,83.140,83.360,,AS
audio01.TextGrid,16,1,I,84.080,84.170,,COULD
audio01.TextGrid,16,2,COULD,84.170,84.340,,ROOT
audio01.TextGrid,16,3,GO,84.340,84.480,,COULD
audio01.TextGrid,16,4,WITH,84.480,84.640,,MONEY
audio01.TextGrid,16,5,YOU,84.640,84.780,,MONEY
audio01.TextGrid,16,6,AGAIN,84.780,85.140,,MONEY
audio01.TextGrid,16,7,WE,85.330,85.420,,MONEY
audio01.TextGrid,16,8,VE,85.420,85.480,,MONEY
audio01.TextGrid,16,9,MADE,85.480,85.670,,MONEY
audio01.TextGrid,16,10,SOME,85.670,85.840,,MONEY
audio01.TextGrid,16,11,MONEY,85.840,86.220,,GO
audio01.TextGrid,17,1,THE,87.640,87.740,,ROOT
audio01.TextGrid,17,2,OLD,87.740,87.970,,HIM
audio01.TextGrid,17,3,MAN,87.970,88.170,,HIM
audio01.TextGrid,17,4,HAD,88.170,88.330,,HIM
audio01.TextGrid,17,5,TAUGHT,88.330,88.480,,HIM
audio01.TextGrid,17,6,THE,88.480,88.590,,HIM
audio01.TextGrid,17,7,BOY,88.590,88.760,,HIM
audio01.TextGrid,17,8,TO,88.760,88.870,,HIM
audio01.TextGrid,17,9,FISH,88.870,89.240,,HIM
audio01.TextGrid,17,10,AND,89.240,89.330,,HIM
audio01.TextGrid,17,11,THE,89.330,89.400,,HIM
audio01.TextGrid,17,12,BOY,89.400,89.600,,HIM
audio01.TextGrid,17,13,LOVED,89.600,89.910,,HIM
audio01.TextGrid,17,14,HIM,89.910,90.060,,ROOT
audio01.TextGrid,18,1,NO,90.830,91.140,,ROOT
audio01.TextGrid,18,2,THE,91.480,91.600,,SAID
audio01.TextGrid,18,3,OLD,91.600,91.790,,SAID
audio01.TextGrid,18,4,MAN,91.790,92.010,,SAID
audio01.TextGrid,18,5,SAID,92.010,92.360,,ROOT
audio01.TextGrid,19,1,YOU,92.900,93.040,,ROOT
audio01.TextGrid,19,2,RE,93.040,93.100,,THEM
audio01.TextGrid,19,3,WITH,93.100,93.280,,THEM
audio01.TextGrid,19,4,A,93.280,93.360,,THEM
audio01.TextGrid,19,5,LUCKY,93.360,93.670,,THEM
audio01.TextGrid,19,6,BOAT,93.670,94.070,,THEM
audio01.TextGrid,19,7,STAY,94.220,94.450,,THEM
audio01.TextGrid,19,8,WITH,94.450,94.710,,THEM
audio01.TextGrid,19,9,THEM,94.710,94.930,,ROOT
audio01.TextGrid,20,1,BUT,96.070,96.240,,WEEKS
audio01.TextGrid,20,2,REMEMBER,96.240,96.600,,WEEKS
audio01.TextGrid,20,3,HOW,96.600,96.720,,WEEKS
audio01.TextGrid,20,4,YOU,96.720,96.880,,WEEKS
audio01.TextGrid,20,5,WENT,96.880,97.040,,WEEKS
audio01.TextGrid,20,6,EIGHTY,97.040,97.280,,WEEKS
audio01.TextGrid,20,7,SEVEN,97.280,97.550,,WEEKS
audio01.TextGrid,20,8,DAYS,97.550,97.820,,WEEKS
audio01.TextGrid,20,9,WITHOUT,97.820,98.090,,WEEKS
audio01.TextGrid,20,10,FISH,98.090,98.370,,WEEKS
audio01.TextGrid,20,11,AND,98.630,98.710,,WEEKS
audio01.TextGrid,20,12,THEN,98.710,98.870,,WEEKS
audio01.TextGrid,20,13,WE,98.870,98.960,,WEEKS
audio01.TextGrid,20,14,CAUGHT,98.960,99.170,,WEEKS
audio01.TextGrid,20,15,BIG,99.170,99.420,,WEEKS
audio01.TextGrid,20,16,ONES,99.420,99.670,,WEEKS
audio01.TextGrid,20,17,EVERY,99.670,99.870,,WEEKS
audio01.TextGrid,20,18,DAY,99.870,100.040,,WEEKS
audio01.TextGrid,20,19,FOR,100.040,100.160,,WEEKS
audio01.TextGrid,20,20,THREE,100.160,100.390,,WEEKS
audio01.TextGrid,20,21,WEEKS,100.390,100.780,,ROOT
audio01.TextGrid,21,1,I,102.110,102.220,,REMEMBER
audio01.TextGrid,21,2,REMEMBER,102.220,102.740,,ROOT
audio01.TextGrid,21,3,THE,102.930,103.060,,ROOT
audio01.TextGrid,21,4,OLD,103.060,103.240,,SAID
audio01.TextGrid,21,5,MAN,103.240,103.490,,SAID
audio01.TextGrid,21,6,SAID,103.490,103.820,,ROOT
audio01.TextGrid,22,1,I,104.350,104.480,,KNOW
audio01.TextGrid,22,2,KNOW,104.480,104.650,,ROOT
audio01.TextGrid,22,3,YOU,104.650,104.760,,ROOT
audio01.TextGrid,22,4,DID,104.760,104.950,,ROOT
audio01.TextGrid,22,5,NOT,104.950,105.180,,ROOT
audio01.TextGrid,22,6,LEAVE,105.180,105.370,,ROOT
audio01.TextGrid,22,7,ME,105.370,105.480,,DOUBTED
audio01.TextGrid,22,8,BECAUSE,105.480,105.840,,DOUBTED
audio01.TextGrid,22,9,YOU,105.840,105.940,,DOUBTED
audio01.TextGrid,22,10,DOUBTED,105.940,106.480,,ROOT
audio01.TextGrid,23,1,IT,107.590,107.740,,LEAVE
audio01.TextGrid,23,2,WAS,107.740,107.930,,LEAVE
audio01.TextGrid,23,3,PAPA,107.930,108.250,,LEAVE
